operation,kind,inputs,outputs,input_dimensions_um,output_dimensions_um,settings_json
maple-15-xmin,surface,maple-15-z2,maple-15-x1;maple-15-xmin-loss,"[108000, 265000, 27000]","{""maple-15-x1"": [107000, 265000, 27000], ""maple-15-xmin-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-15-xmax,surface,maple-15-x1,maple-15-x2;maple-15-xmax-loss,"[107000, 265000, 27000]","{""maple-15-x2"": [106000, 265000, 27000], ""maple-15-xmax-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-15-rip,cut,maple-15-x2,maple-15-pre;maple-15-rip-off,"[106000, 265000, 27000]","{""maple-15-pre"": [26000, 265000, 27000], ""maple-15-rip-off"": [77000, 265000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 21465000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-15-joint,surface,maple-15-pre,panel-2-strip-2;maple-15-joint-loss,"[26000, 265000, 27000]","{""maple-15-joint-loss"": [1000, 265000, 27000], ""panel-2-strip-2"": [25000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-16-separate,cut,maple-16,maple-16-window;maple-16-reserve,"[108000, 419000, 33000]","{""maple-16-reserve"": [108000, 126000, 33000], ""maple-16-window"": [108000, 290000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 290000, ""tool"": ""saw""}"
maple-16-end-min,cut,maple-16-window,maple-16-end1;maple-16-end-min-off,"[108000, 290000, 33000]","{""maple-16-end-min-off"": [108000, 8000, 33000], ""maple-16-end1"": [108000, 279000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 279000, ""tool"": ""saw""}"
maple-16-end-max,cut,maple-16-end1,maple-16-blank;maple-16-end-max-off,"[108000, 279000, 33000]","{""maple-16-blank"": [108000, 265000, 33000], ""maple-16-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 265000, ""tool"": ""saw""}"
maple-16-zmin,surface,maple-16-blank,maple-16-z1;maple-16-zmin-loss,"[108000, 265000, 33000]","{""maple-16-z1"": [108000, 265000, 30000], ""maple-16-zmin-loss"": [108000, 265000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-16-zmax,surface,maple-16-z1,maple-16-z2;maple-16-zmax-loss,"[108000, 265000, 30000]","{""maple-16-z2"": [108000, 265000, 27000], ""maple-16-zmax-loss"": [108000, 265000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-16-xmin,surface,maple-16-z2,maple-16-x1;maple-16-xmin-loss,"[108000, 265000, 27000]","{""maple-16-x1"": [107000, 265000, 27000], ""maple-16-xmin-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-16-xmax,surface,maple-16-x1,maple-16-x2;maple-16-xmax-loss,"[107000, 265000, 27000]","{""maple-16-x2"": [106000, 265000, 27000], ""maple-16-xmax-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-16-rip,cut,maple-16-x2,maple-16-pre;maple-16-rip-off,"[106000, 265000, 27000]","{""maple-16-pre"": [26000, 265000, 27000], ""maple-16-rip-off"": [77000, 265000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 21465000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-16-joint,surface,maple-16-pre,panel-2-strip-3;maple-16-joint-loss,"[26000, 265000, 27000]","{""maple-16-joint-loss"": [1000, 265000, 27000], ""panel-2-strip-3"": [25000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-1-separate,cut,walnut-1,walnut-1-window;walnut-1-reserve,"[83000, 419000, 37000]","{""walnut-1-reserve"": [83000, 126000, 37000], ""walnut-1-window"": [83000, 290000, 37000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 290000, ""tool"": ""saw""}"
walnut-1-end-min,cut,walnut-1-window,walnut-1-end1;walnut-1-end-min-off,"[83000, 290000, 37000]","{""walnut-1-end-min-off"": [83000, 8000, 37000], ""walnut-1-end1"": [83000, 279000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""max"", ""retained_um"": 279000, ""tool"": ""saw""}"
walnut-1-end-max,cut,walnut-1-end1,walnut-1-blank;walnut-1-end-max-off,"[83000, 279000, 37000]","{""walnut-1-blank"": [83000, 265000, 37000], ""walnut-1-end-max-off"": [83000, 11000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 265000, ""tool"": ""saw""}"
walnut-1-zmin,surface,walnut-1-blank,walnut-1-z1;walnut-1-zmin-loss,"[83000, 265000, 37000]","{""walnut-1-z1"": [83000, 265000, 32000], ""walnut-1-zmin-loss"": [83000, 265000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
walnut-1-zmax,surface,walnut-1-z1,walnut-1-z2;walnut-1-zmax-loss,"[83000, 265000, 32000]","{""walnut-1-z2"": [83000, 265000, 27000], ""walnut-1-zmax-loss"": [83000, 265000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
walnut-1-xmin,surface,walnut-1-z2,walnut-1-x1;walnut-1-xmin-loss,"[83000, 265000, 27000]","{""walnut-1-x1"": [82000, 265000, 27000], ""walnut-1-xmin-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
walnut-1-xmax,surface,walnut-1-x1,walnut-1-x2;walnut-1-xmax-loss,"[82000, 265000, 27000]","{""walnut-1-x2"": [81000, 265000, 27000], ""walnut-1-xmax-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-1-rip,cut,walnut-1-x2,walnut-1-pre;walnut-1-rip-off,"[81000, 265000, 27000]","{""walnut-1-pre"": [26000, 265000, 27000], ""walnut-1-rip-off"": [52000, 265000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 21465000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
walnut-1-joint,surface,walnut-1-pre,panel-2-strip-4;walnut-1-joint-loss,"[26000, 265000, 27000]","{""panel-2-strip-4"": [25000, 265000, 27000], ""walnut-1-joint-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-2-separate,cut,walnut-2,walnut-2-window;walnut-2-reserve,"[83000, 419000, 37000]","{""walnut-2-reserve"": [83000, 126000, 37000], ""walnut-2-window"": [83000, 290000, 37000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 290000, ""tool"": ""saw""}"
walnut-2-end-min,cut,walnut-2-window,walnut-2-end1;walnut-2-end-min-off,"[83000, 290000, 37000]","{""walnut-2-end-min-off"": [83000, 8000, 37000], ""walnut-2-end1"": [83000, 279000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""max"", ""retained_um"": 279000, ""tool"": ""saw""}"
walnut-2-end-max,cut,walnut-2-end1,walnut-2-blank;walnut-2-end-max-off,"[83000, 279000, 37000]","{""walnut-2-blank"": [83000, 265000, 37000], ""walnut-2-end-max-off"": [83000, 11000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 265000, ""tool"": ""saw""}"
walnut-2-zmin,surface,walnut-2-blank,walnut-2-z1;walnut-2-zmin-loss,"[83000, 265000, 37000]","{""walnut-2-z1"": [83000, 265000, 32000], ""walnut-2-zmin-loss"": [83000, 265000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
walnut-2-zmax,surface,walnut-2-z1,walnut-2-z2;walnut-2-zmax-loss,"[83000, 265000, 32000]","{""walnut-2-z2"": [83000, 265000, 27000], ""walnut-2-zmax-loss"": [83000, 265000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
walnut-2-xmin,surface,walnut-2-z2,walnut-2-x1;walnut-2-xmin-loss,"[83000, 265000, 27000]","{""walnut-2-x1"": [82000, 265000, 27000], ""walnut-2-xmin-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
walnut-2-xmax,surface,walnut-2-x1,walnut-2-x2;walnut-2-xmax-loss,"[82000, 265000, 27000]","{""walnut-2-x2"": [81000, 265000, 27000], ""walnut-2-xmax-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-2-rip,cut,walnut-2-x2,walnut-2-pre;walnut-2-rip-off,"[81000, 265000, 27000]","{""walnut-2-pre"": [26000, 265000, 27000], ""walnut-2-rip-off"": [52000, 265000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 21465000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
walnut-2-joint,surface,walnut-2-pre,panel-2-strip-5;walnut-2-joint-loss,"[26000, 265000, 27000]","{""panel-2-strip-5"": [25000, 265000, 27000], ""walnut-2-joint-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-3-separate,cut,walnut-3,walnut-3-window;walnut-3-reserve,"[83000, 419000, 37000]","{""walnut-3-reserve"": [83000, 126000, 37000], ""walnut-3-window"": [83000, 290000, 37000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 290000, ""tool"": ""saw""}"
walnut-3-end-min,cut,walnut-3-window,walnut-3-end1;walnut-3-end-min-off,"[83000, 290000, 37000]","{""walnut-3-end-min-off"": [83000, 8000, 37000], ""walnut-3-end1"": [83000, 279000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""max"", ""retained_um"": 279000, ""tool"": ""saw""}"
walnut-3-end-max,cut,walnut-3-end1,walnut-3-blank;walnut-3-end-max-off,"[83000, 279000, 37000]","{""walnut-3-blank"": [83000, 265000, 37000], ""walnut-3-end-max-off"": [83000, 11000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 265000, ""tool"": ""saw""}"
walnut-3-zmin,surface,walnut-3-blank,walnut-3-z1;walnut-3-zmin-loss,"[83000, 265000, 37000]","{""walnut-3-z1"": [83000, 265000, 32000], ""walnut-3-zmin-loss"": [83000, 265000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
walnut-3-zmax,surface,walnut-3-z1,walnut-3-z2;walnut-3-zmax-loss,"[83000, 265000, 32000]","{""walnut-3-z2"": [83000, 265000, 27000], ""walnut-3-zmax-loss"": [83000, 265000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
walnut-3-xmin,surface,walnut-3-z2,walnut-3-x1;walnut-3-xmin-loss,"[83000, 265000, 27000]","{""walnut-3-x1"": [82000, 265000, 27000], ""walnut-3-xmin-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
walnut-3-xmax,surface,walnut-3-x1,walnut-3-x2;walnut-3-xmax-loss,"[82000, 265000, 27000]","{""walnut-3-x2"": [81000, 265000, 27000], ""walnut-3-xmax-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-3-rip,cut,walnut-3-x2,walnut-3-pre;walnut-3-rip-off,"[81000, 265000, 27000]","{""walnut-3-pre"": [26000, 265000, 27000], ""walnut-3-rip-off"": [52000, 265000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 21465000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
walnut-3-joint,surface,walnut-3-pre,panel-2-strip-6;walnut-3-joint-loss,"[26000, 265000, 27000]","{""panel-2-strip-6"": [25000, 265000, 27000], ""walnut-3-joint-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-4-separate,cut,walnut-4,walnut-4-window;walnut-4-reserve,"[83000, 419000, 37000]","{""walnut-4-reserve"": [83000, 126000, 37000], ""walnut-4-window"": [83000, 290000, 37000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 290000, ""tool"": ""saw""}"
walnut-4-end-min,cut,walnut-4-window,walnut-4-end1;walnut-4-end-min-off,"[83000, 290000, 37000]","{""walnut-4-end-min-off"": [83000, 8000, 37000], ""walnut-4-end1"": [83000, 279000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""max"", ""retained_um"": 279000, ""tool"": ""saw""}"
walnut-4-end-max,cut,walnut-4-end1,walnut-4-blank;walnut-4-end-max-off,"[83000, 279000, 37000]","{""walnut-4-blank"": [83000, 265000, 37000], ""walnut-4-end-max-off"": [83000, 11000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 265000, ""tool"": ""saw""}"
walnut-4-zmin,surface,walnut-4-blank,walnut-4-z1;walnut-4-zmin-loss,"[83000, 265000, 37000]","{""walnut-4-z1"": [83000, 265000, 32000], ""walnut-4-zmin-loss"": [83000, 265000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
walnut-4-zmax,surface,walnut-4-z1,walnut-4-z2;walnut-4-zmax-loss,"[83000, 265000, 32000]","{""walnut-4-z2"": [83000, 265000, 27000], ""walnut-4-zmax-loss"": [83000, 265000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
walnut-4-xmin,surface,walnut-4-z2,walnut-4-x1;walnut-4-xmin-loss,"[83000, 265000, 27000]","{""walnut-4-x1"": [82000, 265000, 27000], ""walnut-4-xmin-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
walnut-4-xmax,surface,walnut-4-x1,walnut-4-x2;walnut-4-xmax-loss,"[82000, 265000, 27000]","{""walnut-4-x2"": [81000, 265000, 27000], ""walnut-4-xmax-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-4-rip,cut,walnut-4-x2,walnut-4-pre;walnut-4-rip-off,"[81000, 265000, 27000]","{""walnut-4-pre"": [26000, 265000, 27000], ""walnut-4-rip-off"": [52000, 265000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 21465000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
walnut-4-joint,surface,walnut-4-pre,panel-2-strip-7;walnut-4-joint-loss,"[26000, 265000, 27000]","{""panel-2-strip-7"": [25000, 265000, 27000], ""walnut-4-joint-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-17-separate,cut,maple-17,maple-17-window;maple-17-reserve,"[108000, 419000, 33000]","{""maple-17-reserve"": [108000, 126000, 33000], ""maple-17-window"": [108000, 290000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 290000, ""tool"": ""saw""}"
maple-17-end-min,cut,maple-17-window,maple-17-end1;maple-17-end-min-off,"[108000, 290000, 33000]","{""maple-17-end-min-off"": [108000, 8000, 33000], ""maple-17-end1"": [108000, 279000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 279000, ""tool"": ""saw""}"
maple-17-end-max,cut,maple-17-end1,maple-17-blank;maple-17-end-max-off,"[108000, 279000, 33000]","{""maple-17-blank"": [108000, 265000, 33000], ""maple-17-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 265000, ""tool"": ""saw""}"
maple-17-zmin,surface,maple-17-blank,maple-17-z1;maple-17-zmin-loss,"[108000, 265000, 33000]","{""maple-17-z1"": [108000, 265000, 30000], ""maple-17-zmin-loss"": [108000, 265000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-17-zmax,surface,maple-17-z1,maple-17-z2;maple-17-zmax-loss,"[108000, 265000, 30000]","{""maple-17-z2"": [108000, 265000, 27000], ""maple-17-zmax-loss"": [108000, 265000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-17-xmin,surface,maple-17-z2,maple-17-x1;maple-17-xmin-loss,"[108000, 265000, 27000]","{""maple-17-x1"": [107000, 265000, 27000], ""maple-17-xmin-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-17-xmax,surface,maple-17-x1,maple-17-x2;maple-17-xmax-loss,"[107000, 265000, 27000]","{""maple-17-x2"": [106000, 265000, 27000], ""maple-17-xmax-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-17-rip,cut,maple-17-x2,maple-17-pre;maple-17-rip-off,"[106000, 265000, 27000]","{""maple-17-pre"": [26000, 265000, 27000], ""maple-17-rip-off"": [77000, 265000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 21465000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-17-joint,surface,maple-17-pre,panel-2-strip-8;maple-17-joint-loss,"[26000, 265000, 27000]","{""maple-17-joint-loss"": [1000, 265000, 27000], ""panel-2-strip-8"": [25000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-18-separate,cut,maple-18,maple-18-window;maple-18-reserve,"[108000, 419000, 33000]","{""maple-18-reserve"": [108000, 126000, 33000], ""maple-18-window"": [108000, 290000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 290000, ""tool"": ""saw""}"
maple-18-end-min,cut,maple-18-window,maple-18-end1;maple-18-end-min-off,"[108000, 290000, 33000]","{""maple-18-end-min-off"": [108000, 8000, 33000], ""maple-18-end1"": [108000, 279000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 279000, ""tool"": ""saw""}"
maple-18-end-max,cut,maple-18-end1,maple-18-blank;maple-18-end-max-off,"[108000, 279000, 33000]","{""maple-18-blank"": [108000, 265000, 33000], ""maple-18-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 265000, ""tool"": ""saw""}"
maple-18-zmin,surface,maple-18-blank,maple-18-z1;maple-18-zmin-loss,"[108000, 265000, 33000]","{""maple-18-z1"": [108000, 265000, 30000], ""maple-18-zmin-loss"": [108000, 265000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-18-zmax,surface,maple-18-z1,maple-18-z2;maple-18-zmax-loss,"[108000, 265000, 30000]","{""maple-18-z2"": [108000, 265000, 27000], ""maple-18-zmax-loss"": [108000, 265000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-18-xmin,surface,maple-18-z2,maple-18-x1;maple-18-xmin-loss,"[108000, 265000, 27000]","{""maple-18-x1"": [107000, 265000, 27000], ""maple-18-xmin-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-18-xmax,surface,maple-18-x1,maple-18-x2;maple-18-xmax-loss,"[107000, 265000, 27000]","{""maple-18-x2"": [106000, 265000, 27000], ""maple-18-xmax-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-18-rip,cut,maple-18-x2,maple-18-pre;maple-18-rip-off,"[106000, 265000, 27000]","{""maple-18-pre"": [26000, 265000, 27000], ""maple-18-rip-off"": [77000, 265000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 21465000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-18-joint,surface,maple-18-pre,panel-2-strip-9;maple-18-joint-loss,"[26000, 265000, 27000]","{""maple-18-joint-loss"": [1000, 265000, 27000], ""panel-2-strip-9"": [25000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-19-separate,cut,maple-19,maple-19-window;maple-19-reserve,"[108000, 419000, 33000]","{""maple-19-reserve"": [108000, 126000, 33000], ""maple-19-window"": [108000, 290000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 290000, ""tool"": ""saw""}"
maple-19-end-min,cut,maple-19-window,maple-19-end1;maple-19-end-min-off,"[108000, 290000, 33000]","{""maple-19-end-min-off"": [108000, 8000, 33000], ""maple-19-end1"": [108000, 279000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 279000, ""tool"": ""saw""}"
maple-19-end-max,cut,maple-19-end1,maple-19-blank;maple-19-end-max-off,"[108000, 279000, 33000]","{""maple-19-blank"": [108000, 265000, 33000], ""maple-19-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 265000, ""tool"": ""saw""}"
maple-19-zmin,surface,maple-19-blank,maple-19-z1;maple-19-zmin-loss,"[108000, 265000, 33000]","{""maple-19-z1"": [108000, 265000, 30000], ""maple-19-zmin-loss"": [108000, 265000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-19-zmax,surface,maple-19-z1,maple-19-z2;maple-19-zmax-loss,"[108000, 265000, 30000]","{""maple-19-z2"": [108000, 265000, 27000], ""maple-19-zmax-loss"": [108000, 265000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-19-xmin,surface,maple-19-z2,maple-19-x1;maple-19-xmin-loss,"[108000, 265000, 27000]","{""maple-19-x1"": [107000, 265000, 27000], ""maple-19-xmin-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-19-xmax,surface,maple-19-x1,maple-19-x2;maple-19-xmax-loss,"[107000, 265000, 27000]","{""maple-19-x2"": [106000, 265000, 27000], ""maple-19-xmax-loss"": [1000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-19-rip,cut,maple-19-x2,maple-19-pre;maple-19-rip-off,"[106000, 265000, 27000]","{""maple-19-pre"": [26000, 265000, 27000], ""maple-19-rip-off"": [77000, 265000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 21465000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-19-joint,surface,maple-19-pre,panel-2-strip-10;maple-19-joint-loss,"[26000, 265000, 27000]","{""maple-19-joint-loss"": [1000, 265000, 27000], ""panel-2-strip-10"": [25000, 265000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-20-separate,cut,maple-20,maple-20-window;maple-20-reserve,"[108000, 419000, 33000]","{""maple-20-reserve"": [108000, 126000, 33000], ""maple-20-window"": [108000, 290000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 290000, ""tool"": ""saw""}"
