operation,kind,inputs,outputs,input_dimensions_um,output_dimensions_um,settings_json
walnut-15-zmax,surface,walnut-15-z1,walnut-15-z2;walnut-15-zmax-loss,"[83000, 195000, 32000]","{""walnut-15-z2"": [83000, 195000, 27000], ""walnut-15-zmax-loss"": [83000, 195000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
walnut-15-xmin,surface,walnut-15-z2,walnut-15-x1;walnut-15-xmin-loss,"[83000, 195000, 27000]","{""walnut-15-x1"": [82000, 195000, 27000], ""walnut-15-xmin-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
walnut-15-xmax,surface,walnut-15-x1,walnut-15-x2;walnut-15-xmax-loss,"[82000, 195000, 27000]","{""walnut-15-x2"": [81000, 195000, 27000], ""walnut-15-xmax-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-15-rip,cut,walnut-15-x2,walnut-15-pre;walnut-15-rip-off,"[81000, 195000, 27000]","{""walnut-15-pre"": [26000, 195000, 27000], ""walnut-15-rip-off"": [52000, 195000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 15795000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
walnut-15-joint,surface,walnut-15-pre,panel-5-strip-4;walnut-15-joint-loss,"[26000, 195000, 27000]","{""panel-5-strip-4"": [25000, 195000, 27000], ""walnut-15-joint-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-39-separate,cut,maple-39,maple-39-window;maple-39-reserve,"[108000, 419000, 33000]","{""maple-39-reserve"": [108000, 196000, 33000], ""maple-39-window"": [108000, 220000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 220000, ""tool"": ""saw""}"
maple-39-end-min,cut,maple-39-window,maple-39-end1;maple-39-end-min-off,"[108000, 220000, 33000]","{""maple-39-end-min-off"": [108000, 8000, 33000], ""maple-39-end1"": [108000, 209000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 209000, ""tool"": ""saw""}"
maple-39-end-max,cut,maple-39-end1,maple-39-blank;maple-39-end-max-off,"[108000, 209000, 33000]","{""maple-39-blank"": [108000, 195000, 33000], ""maple-39-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 195000, ""tool"": ""saw""}"
maple-39-zmin,surface,maple-39-blank,maple-39-z1;maple-39-zmin-loss,"[108000, 195000, 33000]","{""maple-39-z1"": [108000, 195000, 30000], ""maple-39-zmin-loss"": [108000, 195000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-39-zmax,surface,maple-39-z1,maple-39-z2;maple-39-zmax-loss,"[108000, 195000, 30000]","{""maple-39-z2"": [108000, 195000, 27000], ""maple-39-zmax-loss"": [108000, 195000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-39-xmin,surface,maple-39-z2,maple-39-x1;maple-39-xmin-loss,"[108000, 195000, 27000]","{""maple-39-x1"": [107000, 195000, 27000], ""maple-39-xmin-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-39-xmax,surface,maple-39-x1,maple-39-x2;maple-39-xmax-loss,"[107000, 195000, 27000]","{""maple-39-x2"": [106000, 195000, 27000], ""maple-39-xmax-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-39-rip,cut,maple-39-x2,maple-39-pre;maple-39-rip-off,"[106000, 195000, 27000]","{""maple-39-pre"": [26000, 195000, 27000], ""maple-39-rip-off"": [77000, 195000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 15795000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-39-joint,surface,maple-39-pre,panel-5-strip-5;maple-39-joint-loss,"[26000, 195000, 27000]","{""maple-39-joint-loss"": [1000, 195000, 27000], ""panel-5-strip-5"": [25000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
