Nominal replay operation report (dimensions are integer micrometres).
maple-4-x-min [surface]: inputs=maple-4-z-max; outputs=maple-4-x-min,maple-4-x-min-milling; input_size_um=[108000, 300000, 27000]; output_sizes_um={'maple-4-x-min': [107000, 300000, 27000], 'maple-4-x-min-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
maple-4-x-max [surface]: inputs=maple-4-x-min; outputs=maple-4-x-max,maple-4-x-max-milling; input_size_um=[107000, 300000, 27000]; output_sizes_um={'maple-4-x-max': [106000, 300000, 27000], 'maple-4-x-max-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-4-rip [cut]: inputs=maple-4-x-max; outputs=maple-4-a-pre,maple-4-a-rem; input_size_um=[106000, 300000, 27000]; output_sizes_um={'maple-4-a-pre': [51000, 300000, 27000], 'maple-4-a-rem': [52000, 300000, 27000]}; axis=0; retained_um=51000; kerf_um=3000; kerf_volume_um3=24300000000000; tool=saw; category=other_offcuts; retained_side=min
maple-4-a-joint [surface]: inputs=maple-4-a-pre; outputs=maple-4-a50,maple-4-a-joint-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-4-a50': [50000, 300000, 27000], 'maple-4-a-joint-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-4-rem-joint [surface]: inputs=maple-4-a-rem; outputs=maple-4-rem-new,maple-4-rem-joint-milling; input_size_um=[52000, 300000, 27000]; output_sizes_um={'maple-4-rem-new': [51000, 300000, 27000], 'maple-4-rem-joint-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
maple-4-rem-edge [surface]: inputs=maple-4-rem-new; outputs=maple-4-b50,maple-4-rem-edge-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-4-b50': [50000, 300000, 27000], 'maple-4-rem-edge-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-5-separate [cut]: inputs=maple-5; outputs=maple-5-window,maple-5-reserve; input_size_um=[108000, 419000, 33000]; output_sizes_um={'maple-5-window': [108000, 316000, 33000], 'maple-5-reserve': [108000, 100000, 33000]}; axis=1; retained_um=316000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=other_offcuts; retained_side=min
maple-5-end-min [cut]: inputs=maple-5-window; outputs=maple-5-end-min-blank,maple-5-end-min-offcut; input_size_um=[108000, 316000, 33000]; output_sizes_um={'maple-5-end-min-blank': [108000, 308000, 33000], 'maple-5-end-min-offcut': [108000, 5000, 33000]}; axis=1; retained_um=308000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=trim; retained_side=max
maple-5-end-max [cut]: inputs=maple-5-end-min-blank; outputs=maple-5-blank,maple-5-end-max-offcut; input_size_um=[108000, 308000, 33000]; output_sizes_um={'maple-5-blank': [108000, 300000, 33000], 'maple-5-end-max-offcut': [108000, 5000, 33000]}; axis=1; retained_um=300000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=trim; retained_side=min
maple-5-z-min [surface]: inputs=maple-5-blank; outputs=maple-5-z-min,maple-5-z-min-milling; input_size_um=[108000, 300000, 33000]; output_sizes_um={'maple-5-z-min': [108000, 300000, 30000], 'maple-5-z-min-milling': [108000, 300000, 3000]}; axis=2; side=min; amount_um=3000; category=milling; process=thickness_planer
maple-5-z-max [surface]: inputs=maple-5-z-min; outputs=maple-5-z-max,maple-5-z-max-milling; input_size_um=[108000, 300000, 30000]; output_sizes_um={'maple-5-z-max': [108000, 300000, 27000], 'maple-5-z-max-milling': [108000, 300000, 3000]}; axis=2; side=max; amount_um=3000; category=milling; process=thickness_planer
maple-5-x-min [surface]: inputs=maple-5-z-max; outputs=maple-5-x-min,maple-5-x-min-milling; input_size_um=[108000, 300000, 27000]; output_sizes_um={'maple-5-x-min': [107000, 300000, 27000], 'maple-5-x-min-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
maple-5-x-max [surface]: inputs=maple-5-x-min; outputs=maple-5-x-max,maple-5-x-max-milling; input_size_um=[107000, 300000, 27000]; output_sizes_um={'maple-5-x-max': [106000, 300000, 27000], 'maple-5-x-max-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-5-rip [cut]: inputs=maple-5-x-max; outputs=maple-5-a-pre,maple-5-a-rem; input_size_um=[106000, 300000, 27000]; output_sizes_um={'maple-5-a-pre': [51000, 300000, 27000], 'maple-5-a-rem': [52000, 300000, 27000]}; axis=0; retained_um=51000; kerf_um=3000; kerf_volume_um3=24300000000000; tool=saw; category=other_offcuts; retained_side=min
maple-5-a-joint [surface]: inputs=maple-5-a-pre; outputs=maple-5-a50,maple-5-a-joint-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-5-a50': [50000, 300000, 27000], 'maple-5-a-joint-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-5-rem-joint [surface]: inputs=maple-5-a-rem; outputs=maple-5-rem-new,maple-5-rem-joint-milling; input_size_um=[52000, 300000, 27000]; output_sizes_um={'maple-5-rem-new': [51000, 300000, 27000], 'maple-5-rem-joint-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
maple-5-rem-edge [surface]: inputs=maple-5-rem-new; outputs=maple-5-b50,maple-5-rem-edge-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-5-b50': [50000, 300000, 27000], 'maple-5-rem-edge-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-6-separate [cut]: inputs=maple-6; outputs=maple-6-window,maple-6-reserve; input_size_um=[108000, 419000, 33000]; output_sizes_um={'maple-6-window': [108000, 316000, 33000], 'maple-6-reserve': [108000, 100000, 33000]}; axis=1; retained_um=316000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=other_offcuts; retained_side=min
maple-6-end-min [cut]: inputs=maple-6-window; outputs=maple-6-end-min-blank,maple-6-end-min-offcut; input_size_um=[108000, 316000, 33000]; output_sizes_um={'maple-6-end-min-blank': [108000, 308000, 33000], 'maple-6-end-min-offcut': [108000, 5000, 33000]}; axis=1; retained_um=308000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=trim; retained_side=max
maple-6-end-max [cut]: inputs=maple-6-end-min-blank; outputs=maple-6-blank,maple-6-end-max-offcut; input_size_um=[108000, 308000, 33000]; output_sizes_um={'maple-6-blank': [108000, 300000, 33000], 'maple-6-end-max-offcut': [108000, 5000, 33000]}; axis=1; retained_um=300000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=trim; retained_side=min
maple-6-z-min [surface]: inputs=maple-6-blank; outputs=maple-6-z-min,maple-6-z-min-milling; input_size_um=[108000, 300000, 33000]; output_sizes_um={'maple-6-z-min': [108000, 300000, 30000], 'maple-6-z-min-milling': [108000, 300000, 3000]}; axis=2; side=min; amount_um=3000; category=milling; process=thickness_planer
